id, n
0, 17
1, 13
2, 17
3, 17
4, 11
5, 20
6, 12
7, 15
8, 9
9, 14
10, 14
11, 19
12, 17
13, 15
14, 12
15, 18
16, 8
17, 14
18, 18
19, 7
20, 13
21, 10
22, 19
23, 19
24, 14
25, 13
26, 12
27, 15
28, 15
29, 8
30, 17
31, 13
32, 14
33, 11
34, 16
35, 12
36, 16
37, 17
38, 11
39, 14
40, 13
41, 6
42, 12
43, 14
44, 20
45, 7
46, 4
47, 12
48, 19
49, 15
50, 16
51, 12
52, 12
53, 11
54, 11
55, 13
56, 20
57, 10
58, 16
59, 12
60, 24
61, 20
62, 21
63, 17
64, 11
65, 10
66, 13
67, 16
68, 17
69, 22
70, 15
71, 9
72, 16
73, 10
74, 8
75, 11
76, 13
77, 12
78, 14
79, 12
80, 22
81, 12
82, 13
83, 11
84, 8
85, 15
86, 19
87, 15
88, 15
89, 11
90, 14
91, 22
92, 13
93, 11
94, 16
95, 17
96, 13
97, 8
98, 12
99, 10
100, 19
101, 20
102, 11
103, 12
104, 16
105, 15
106, 17
107, 13
108, 17
109, 11
110, 11
111, 12
112, 15
113, 6
114, 16
115, 13
116, 12
117, 25
118, 11
119, 12
120, 19
121, 7
122, 10
123, 12
124, 21
125, 14
126, 7
127, 15
128, 8
129, 16
130, 18
131, 10
132, 7
133, 12
134, 14
135, 16
136, 16
137, 22
138, 18
139, 13
140, 14
141, 11
142, 18
143, 12
144, 16
145, 12
146, 17
147, 11
148, 18
149, 7
150, 14
151, 19
152, 15
153, 14
154, 16
155, 11
156, 22
157, 13
158, 14
159, 15
160, 11
161, 19
162, 12
163, 16
164, 14
165, 14
166, 12
167, 20
168, 21
169, 15
170, 12
171, 13
172, 20
173, 9
174, 13
175, 27
176, 16
177, 15
178, 8
179, 16
180, 14
181, 10
182, 12
183, 12
184, 10
185, 13
186, 16
187, 12
188, 10
189, 11
190, 5
191, 17
192, 12
193, 10
194, 14
195, 15
196, 12
197, 11
198, 20
199, 14
200, 15
201, 12
202, 17
203, 13
204, 14
205, 12
206, 13
207, 18
208, 13
209, 11
210, 12
211, 17
212, 12
213, 10
214, 15
215, 13
216, 13
217, 12
218, 20
219, 14
220, 11
221, 13
222, 12
223, 20
224, 20
225, 14
226, 9
227, 17
228, 16
229, 17
230, 17
231, 14
232, 14
