id, n
0, 11
1, 4
2, 7
3, 5
4, 5
5, 4
6, 4
7, 3
8, 3
9, 0
10, 2
11, 3
12, 2
13, 0
14, 1
15, 0
16, 1
17, 2
18, 0
19, 0
20, 2
21, 2
22, 0
23, 1
24, 2
25, 1
26, 2
27, 0
28, 1
29, 1
30, 4
31, 0
32, 0
33, 4
34, 2
35, 0
36, 3
37, 2
38, 6
39, 1
40, 6
41, 5
42, 3
43, 8
44, 6
45, 5
46, 7
47, 11
48, 4
49, 4
50, 7
51, 9
52, 12
53, 10
54, 5
55, 9
56, 8
57, 9
58, 13
59, 13
60, 8
61, 12
62, 8
63, 18
64, 11
65, 11
66, 12
67, 12
68, 14
69, 15
70, 16
71, 16
72, 16
73, 16
74, 11
75, 9
76, 9
77, 10
78, 23
79, 21
80, 23
81, 19
82, 18
83, 15
84, 16
85, 7
86, 17
87, 16
88, 18
89, 14
90, 11
91, 13
92, 11
93, 10
94, 9
95, 7
96, 7
97, 9
98, 7
99, 10
100, 10
101, 8
102, 7
103, 7
104, 8
105, 11
106, 3
107, 4
108, 7
109, 7
110, 2
111, 9
112, 4
113, 2
114, 2
115, 4
116, 4
117, 3
118, 0
119, 1
120, 3
121, 2
122, 1
123, 0
124, 0
125, 1
126, 1
127, 0
128, 0
129, 1
130, 0
131, 0
132, 0
133, 0
134, 1
135, 1
136, 0
137, 1
138, 2
139, 2
140, 1
141, 2
142, 1
143, 3
144, 1
145, 1
146, 2
147, 2
148, 2
149, 3
150, 2
151, 2
152, 3
153, 2
154, 4
155, 1
156, 2
157, 9
158, 4
159, 6
160, 6
161, 3
162, 0
163, 2
164, 9
165, 9
166, 6
167, 4
168, 5
169, 7
170, 8
171, 8
172, 12
173, 1
174, 7
175, 7
176, 7
177, 2
178, 8
179, 14
180, 6
181, 5
182, 5
183, 6
184, 6
185, 9
186, 7
187, 7
188, 5
189, 7
190, 3
191, 6
192, 4
193, 6
194, 6
195, 10
196, 4
197, 6
198, 12
199, 10
200, 2
201, 6
202, 2
203, 9
204, 6
205, 8
206, 7
207, 4
208, 1
209, 1
210, 7
211, 4
212, 5
213, 4
214, 3
215, 2
216, 2
217, 4
218, 2
219, 5
220, 6
221, 7
222, 1
223, 1
224, 1
225, 2
226, 3
227, 4
228, 1
229, 2
230, 3
231, 1
232, 1
233, 2
234, 1
235, 1
236, 0
237, 2
238, 2
239, 1
240, 2
241, 0
242, 1
243, 2
244, 0
245, 0
246, 1
247, 1
248, 1
249, 0
250, 0
251, 0
252, 1
253, 0
254, 1
255, 2
256, 2
257, 1
258, 0
259, 1
260, 0
261, 1
262, 0
263, 1
264, 0
265, 0
266, 2
267, 2
268, 0
